Origin code,Origin name
AMI10000,MATARAM
AMI20100,BIMA
AMI20200,"DOMPU,KAB.DOMPU"
AMI20300,"PRAYA,KAB.LOMBOK TENGAH"
AMI20400,"SELONG,KAB.LOMBOK TIMUR"
AMI20500,SUMBAWA BESAR
AMI20800,"GERUNG, KAB.LOMBOK BARAT"
AMI20807,"TANJUNG, GERUNG"
AMI20900,"TALIWANG, KAB.SUMBAWA BARAT"
AMQ10000,AMBON
AMQ20100,"MASOHI,KAB.MALUKU TENGAH"
AMQ20101,"BANDA,MASOHI"
AMQ20108,"PULAU HARUKU,MASOHI"
AMQ20200,TUAL
AMQ20300,"NAMLEA,KAB.BURU"
AMQ20307,"NAMROLE,BURU SEL."
AMQ20400,"DOBO, DOBO"
AMQ20600,"PIRU, PIRU"
AMQ20700,DATARAN HUNIMOA
AMQ20800,"SAUMLAKI,KAB.MALUKU TENGGARA"
AMQ20900,"MOA LAKOR,MALUKU BARAT DAYA"
BDJ10000,BANJARMASIN
BDJ10100,"BARABAI,KAB.HULU SUNGAI TNGH"
BDJ10200,"KANDANGAN,KAB.HULU SUNGAI SLTN"
BDJ10300,"KOTABARU,PULAULAUT"
BDJ10302,"HAMPANG,KOTABARUPULAULAUT"
BDJ10323,"KELUMPANG HILIR,KOTA BARU"
BDJ10400,"TANJUNG,KAB.TABALONG"
BDJ10404,"KELUA,TANJUNG"
BDJ10500,BANJARBARU
BDJ20100,AMUNTAI
BDJ20200,"MARABAHAN,KAB.BARITO KUALA"
BDJ20202,"ANJIR PASAR,MARABAHAN"
BDJ20300,"MARTAPURA,KAB.BANJAR"
BDJ20303,"GAMBUT,MARTAPURA"
BDJ20400,"PELAIHARI, KAB.BANJARMASIN"
BDJ20401,"BATI-BATI,PELAIHARI"
BDJ20402,"JORONG,PELAIHARI"
BDJ20500,RANTAU
BDJ20502,"BINUANG,RANTAU"
BDJ20700,MUARATEWEH
BDJ20800,TAMIANGLAYANG
BDJ20803,"DUSUN TENGAH,TAMIANGLAYANG"
BDJ20900,PURUK CAHU
BDJ21100,BUNTOK
BDJ21200,"PARINGIN, KAB BALANGAN"
BDJ21300,"BATULICIN, KAB TANAH BUMBU"
BDJ21301,"KUSAN HILIR,BATULICIN"
BDJ21303,"SATUI,BATULICIN"
BDJ21304,"SUNGAI LOBAN,BATULICIN"
BDO10000,BANDUNG
BDO10100,"BANDUNG KAB, SOREANG"
BDO10129,"RANCAEKEK,SOREANG"
BDO20200,SUMEDANG
BDO20700,"GARUT, KAB. GARUT"
BDO21000,"BANDUNG BARAT KAB, NGAMPRAH"
BDO21200,"CIANJUR, CIANJUR"
BDO21222,"CIANJUR SELATAN, TANGGEUNG"
BKI10000,BEKASI
BKS10000,BENGKULU
BKS20100,"ARGAMAKMUR, KAB.BENGKULU UTARA"
BKS20110,"KETAHUN,ARGAMAKMUR"
BKS20116,"PUTRI HIJAU,ARGAMAKMUR"
BKS20200,"CURUP, KAB.REJANG LEBONG"
BKS20300,"KOTA MANNA, KAB.BENGKULU SLTN"
BKS21100,"KAUR,KAB.KAUR"
BKS21200,"KEPAHIANG,KAB.KEPAHIANG"
BKS21300,LEBONG
BKS21400,"MUKO-MUKO,BENGKULU"
BKS23000,"TAIS, KAB.SELUMA"
BOO10000,BOGOR
BPN10000,BALIKPAPAN
BPN10008,"SAMBOJA, KUTAI KARTANEGARA"
BPN10014,"MUARA JAWA/HANDIL,KUKAR"
BPN20100,"TANAH GROGOT, KAB PASER"
BPN20101,"BATU SOPANG,TANAH GROGOT"
BPN20200,"TANJUNGREDEB, KAB.BERAU"
BPN20300,"PENAJAM, PENAJAM PASER UTARA"
BTG10000,BONTANG
BTG20100,"SANGGATA, KUTAI TIMUR"
BTG20103,"BENGALON , SANGATA"
BTG20112,"MUARA WAHAU , SANGATA"
BTG20116,"SANGKULIRANG , SANGATA"
BTH10000,BATAM
BTH10200,DAIK
BTH10204,"SINGKEP, DAIK"
BTH10300,"RANAI, KAB. NATUNA"
BTH10306,"JEMAJA,KEP.ANAMBAS"
BTH10400,TANJUNG BALAI KARIMUN
BTH10403,"KUNDUR, KAB. KARIMUN"
BTJ10000,BANDAACEH
BTJ10100,LANGSA
BTJ10200,LHOKSEUMAWE
BTJ20100,BIREUEN
BTJ20200,KUTACANE
BTJ20300,MEULABOH
BTJ20400,"SIGLI,KAB.PIDIE"
BTJ20500,TAKENGON
BTJ20600,"TAPAKTUAN,KAB.ACEH SELATAN"
BTJ20700,"SABANG,KOTA SABANG"
BTJ21000,BLANGPIDIE
BTJ21100,KRUENG SABEE/CALANG
BTJ21300,"KUALASIMPANG,KAB.ACEH TAMIANG"
BTJ21400,"IDI RAYEUK,KAB.ACEH TIMUR"
BTJ21500,"LHOKSUKON,KAB.ACEH UTARA"
BTJ21600,SIMPANG TIGA REDELON
BTJ21700,"BLANGKEJEREN,KAB.GAYOLUES"
BTJ21800,SUKA MAKMUE
BTJ21900,"MEUREUDU,KAB.PIDIE JAYA"
BTJ22100,SINABANG
BTJ22200,SUBULUSSALAM
BUX10000,"GATEWAY, BANDUNG"
CBN10000,CIREBON
CBN20100,INDRAMAYU
CBN20200,"KUNINGAN, KAB KUNINGAN"
CBN20300,MAJALENGKA
CBN20420,"KLANGENAN, SUMBER"
CBN20426,"PABUARAN, SUMBER"
CGK10000,JAKARTA
CGK10600,PULAU PRAMUKA
CKR10000,"CIKARANG,KAB.BEKASI"
CLG10000,CILEGON
CLG20100,"PANDEGLANG,KAB.PANDEGLANG"
CLG20200,RANGKASBITUNG
CXP10000,CILACAP
CXP10011,"KESUGIHAN,CILACAP"
CXP10017,"SIDAREJA,CILACAP"
CXP10021,"CIMANGGU,CILACAP"
CXP10023,"BANTASARI,CILACAP"
CXP20000,"KROYA,CILACAP"
DJB10000,JAMBI
DJB10100,KUALATUNGKAL
DJB20100,"BANGKO,KAB.MERANGIN"
DJB20200,"MUARABULIAN,KAB.BATANG HARI"
DJB20204,"MUARATEMBESI,MUARABULIAN"
DJB20300,"MUARABUNGO,KAB.BUNGO"
DJB20400,"SUNGAIPENUH,KAB.KERINCI"
DJB20403,"DANAU KERINCI,SUNGAIPENUH"
DJB20607,"SUNGAI BAHAR,MUARO JAMBI"
DJB20700,"SAROLANGUN,KAB.SAROLANGUN"
DJB20704,"PAUH,SAROLANGUN"
DJB20800,"MUARA SABAK,KAB.TNJ JABUNG TMR"
DJB20900,MUARA TEBO
DJB20901,"RIMBO BUJANG,MUARA TEBO"
DJJ10000,JAYAPURA
DJJ10015,"SENTANI,JAYAPURA"
DJJ10026,"NIMBOKRANG,JAYAPURA"
DJJ10031,"MUARA TAM,JAYAPURA"
DJJ10036,"YAPSI,JAYAPURA"
DJJ20100,BIAK
DJJ20500,"NABIRE,KAB.NABIRE"
DJJ20600,SERUI
DJJ20700,"WAMENA,KAB.JAYAWIJAYA"
DJJ21001,"ARSO,WARIS"
DJJ21300,"OKSIBIL,KAB.PEG.BINTANG"
DJJ21400,MULIA KAB.PUNCAK JAYA
DJJ21500,"SARMI,KAB.SARMI"
DPK10000,DEPOK
DPS10000,DENPASAR
DPS20108,"KARANGASEM,AMLAPURA"
DPS20200,"BANGLI,KAB.BANGLI"
DPS20300,GIANYAR
DPS20400,"NEGARA,KAB.JEMBRANA"
DPS20502,"KLUNGKUNG,SEMARAPURA"
DPS20503,"NUSAPENIDA,SEMARAPURA"
DPS20609,"BULELENG,SINGARAJA"
DPS20700,TABANAN
DPS21100,"BADUNG KAB, MENGWI"
DTB10000,"BALIGE, KAB.TOBA SAMOSIR"
DTB20100,"GUNUNGSITOLI,GUNUNGSITOLI"
DTB20106,"SIROMBU,NIAS BARAT"
DTB20200,"TELUK DALAM,KAB.NIAS SELATAN"
DTB20300,"LAHEWA,NIAS UTARA"
DTB20400,"SIBOLGA,SIBOLGA"
DTB20500,PADANGSIDEMPUAN
DTB20600,"TARUTUNG, KAB.TAPANULI UTARA"
DTB20700,"GUNUNG TUA,GUNUNG TUA"
DTB20800,"DOLOKSANGGUL,KAB.HUMBANG"
DTB20900,PANYABUNGAN
DTB21000,"SIBUHUAN,SIBUHUAN"
DTB21100,SIPIROK
DTB21200,"BATANG TORU,TAPANULI SELATAN"
GTO10000,GORONTALO
GTO20100,"LIMBOTO,KAB.GORONTALO"
GTO20200,"TILAMUTA,KAB.BOALEMO"
GTO20204,"PAGUYAMAN,TILAMUTA"
GTO20302,"KABILA,SUWAWA"
GTO20400,"KWANDANG,KAB.GORONTALO UTARA"
GTO20500,"MARISA,KAB.PAHUWATO"
GTO20504,"POPAYATO,MARISA"
JBR10000,JEMBER
JBR20100,"BANYUWANGI, KAB BANYUWANGI"
JBR20200,"BONDOWOSO, KAB BONDOWOSO"
JOG10000,YOGYAKARTA
JOG20100,"BANTUL,KAB.BANTUL"
JOG20400,"WATES,KAB.KULON PROGO"
JOG20500,"WONOSARI,KAB.GN.KIDUL"
KDI10000,KENDARI
KDI20100,BAU-BAU
KDI20200,"KOLAKA,KAB.KOLAKA"
KDI20209,"TIRAWUTA,KOLAKA TIMUR"
KDI20300,"RAHA,KAB.MUNA"
KDI20306,"KULISUSU,RAHA"
KDI20400,"UNAAHA,KAB.KONAWE"
KDI20431,"MOROSI,KONAWE"
KDI20500,"RUMBIA,KAB.BOMBANA"
KDI20600,"PASAR WAJO,KAB.BUTON"
KDI20601,"BATAUGA, BUTON SELATAN"
KDI20603,"GU,BUTON TENGAH"
KDI20700,"LASUSUA,KAB.KOLAKA UTARA"
KDI20800,"WANGGODO/ANDOLO,KAB.KONAWE"
KDI20900,"WANGI WANGI,KAB.WAKATOBI"
KDI21104,"ANDOWIA,KONAWE UTR "
KDI21200,"WAWONII BARAT,KONAWE"
KDR10000,KEDIRI
KDR10100,"TULUNGAGUNG,KAB.TULUNGAGUNG"
KDR10200,"TRENGGALEK,KAB.TRENGGALEK"
KOE10000,KUPANG
KOE10104,"KATIKUTANA,WAIBAKUL"
KOE20100,"ATAMBUA,KAB.BELU"
KOE20101,"KOBALIMA,BETUN"
KOE20104,"MALAKA TENGAH,ATAMBUA"
KOE20200,KALABAHI
KOE20300,"KEFAMENANU,KAB.TIMOR TGH UTARA"
KOE20700,"SOE,KAB.TIMOR TENGAH SELATAN"
KOE21000,"WAINGAPU,KAB.SUMBA TIMUR"
KOE21100,WAIKABUBAK
KOE21500,"BAA, BAA"
KOE21600,"TAMBOLAKA, TAMBOLAKA"
KOE21900,"OELAMASI,KAB.OELAMASI"
KOE21920,"SABU LIAE,OELAMASI"
KRW10000,KARAWANG
KRW10003,"CIKAMPEK,KARAWANG"
KRW10012,"RENGASDENGKLOK,KARAWANG"
LBJ10000,"LABUAN BAJO, LABUAN BAJO"
LBJ10100,"BORONG,KAB.MANGGARAI TIMUR"
LBJ10200,"LANGKE REMBONG,RUTENG"
LBJ10300,"BAJAWA,KAB.NGADA"
LBJ10400,"MBAY,KAB.NAGEKEO"
LBJ10500,"ENDE,KAB.ENDE"
LBJ10600,"MAUMERE,KAB.SIKKA"
LBJ10700,"LARANTUKA,KAB.FLORES TIMUR"
LBJ10800,"LEWOLEBA, LEMBATA"
MDC10000,MANADO
MDC20100,"KOTAMOBAGU,KOTAMOBAGU"
MDC20200,"TAHUNA,KEP.SANGIHE"
MDC20300,"TONDANO,KAB.MINAHASA"
MDC20700,MELONGUANE
MDC20800,"AIRMADIDI,KAB.MINAHASA UTARA"
MDC20900,"AMURANG, MINAHASA SELATAN"
MDC21000,"RATAHAN,KAB.MINAHASA TENGGARA"
MDC21100,TOMOHON
MDC21500,"SIAU BARAT UTR,KP SIAU T BIARO"
MDN10000,MADIUN
MDN10100,"CARUBAN,KAB.MADIUN"
MDN20100,"MAGETAN, KAB MAGETAN"
MDN20200,"NGAWI, KAB NGAWI"
MDN20300,"PACITAN, KAB PACITAN"
MDN20400,"PONOROGO, KAB PONOROGO"
MES10000,MEDAN
MES10100,"KISARAN, KAB.ASAHAN"
MES10300,"SIDIKALANG, KAB.DAIRI"
MES10600,"LUBUK PAKAM,KAB.DELI SERDANG"
MES10606,"PANCUR BATU,LUBUK PAKAM"
MES20200,"BINJAI, KOTA BINJAI"
MES20601,"BANDAR,SIMALUNGUN"
MES20700,"RANTAUPRAPAT, KAB.LABUHAN BATU"
MES20704,"KOTAPINANG, LABUHAN BATU SLTN"
MES20713,"AEK KUO,LABUHANBATU"
MES20800,"KABANJAHE, KAB.KARO"
MES20900,"STABAT, KAB.LANGKAT"
MES20915,"BINJAI,LANGKAT"
MES21100,TEBINGTINGGI
MES21508,"SEI SUKA,LIMAPULUH"
MES22100,"SALAK,KAB.PAKPAK BARAT"
MES22200,"PANGURURAN,KAB.SAMOSIR"
MES22300,"SEI RAMPAH,KAB.SERDANG BEDAGAI"
MES22500,TANJUNG BALAI
MES22600,PEMATANGSIANTAR
MGL10000,MAGELANG
MGL10100,KEBUMEN
MGL10200,WONOSOBO
MGL10300,"PURWOREJO,KAB.PURWOREJO"
MGL10400,"TEMANGGUNG,KAB.TEMANGGUNG"
MJK10000,MOJOKERTO
MJK10100,"JOMBANG,KAB. JOMBANG"
MJK10200,"NGANJUK,KAB. NGANJUK"
MKQ10000,"MERAUKE,MERAUKE"
MKQ20100,"TANAH MERAH,BOVEN DIGOEL"
MKQ20101,"JAIR,BOVEN DIGOEL "
MKQ20200,"KEPI,MAPPI"
MKQ20300,"AGATS,ASMAT "
MKW10000,MANOKWARI
MKW10007,"PRAFI, MANOKWARI"
MKW20100,"RANSIKI, MANOKWARI"
MKW20103,"ORANSBARI, MANOKWARI"
MKW20200,"ANGGI, MANOKWARI"
MKW20300,"BINTUNI,KAB. TELUK BINTUNI"
MKW20400,"WASIOR,TELUK WONDAMA"
MKW20402,"RASIEI,TELUK WONDAMA"
MXG10000,MALANG
MXG20100,BLITAR
MXG20200,BATU
MXG20300,"KEPANJEN,KAB. MALANG"
MXG20303,"BULULAWANG, KAB.MALANG"
MXG20323,"TUREN, KABUPATEN MALANG"
PBL10000,PROBOLINGGO
PBL20100,"LUMAJANG,KAB.LUMAJANG"
PBL20200,"SITUBONDO,KAB.SITUBONDO"
PDG10000,PADANG
PDG20100,BATUSANGKAR
PDG20200,BUKITTINGGI
PDG20300,"LUBUKSIKAPING,KAB,PASAMAN"
PDG20500,"PAINAN,KAB.PESISIR SELATAN"
